Id,Prediction
1,1
2,1
3,5
4,1
5,1
6,1
7,5
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,3
20,2
21,1
22,1
23,1
24,1
25,5
26,1
27,1
28,2
29,2
30,1
31,2
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,5
62,1
63,1
64,1
65,2
66,1
67,1
68,1
69,3
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,3
84,1
85,1
86,1
87,3
88,3
89,1
90,1
91,1
92,5
93,1
94,3
95,4
96,2
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,2
116,1
117,2
118,1
119,3
120,1
121,1
122,1
123,2
124,1
125,2
126,2
127,2
128,1
129,1
130,2
131,1
132,2
133,3
134,1
135,3
136,1
137,2
138,1
139,2
140,2
141,1
142,1
143,2
144,1
145,1
146,1
147,1
148,2
149,2
150,1
151,3
152,3
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,2
162,1
163,4
164,1
165,1
166,3
167,1
168,1
169,3
170,1
171,1
172,1
173,5
174,1
175,1
176,3
177,2
178,1
179,1
180,1
181,1
182,3
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,2
197,2
198,11
199,11
200,11
201,11
202,11
203,14
204,13
205,11
206,13
207,11
208,11
209,11
210,11
211,11
212,12
213,11
214,11
215,3
216,11
217,11
218,10
219,11
220,11
221,11
222,11
223,11
224,11
225,11
226,11
227,14
228,11
229,11
230,11
231,14
232,13
233,11
234,11
235,11
236,11
237,3
238,11
239,11
240,15
241,11
242,11
243,11
244,13
245,11
246,11
247,10
248,3
249,3
250,1
251,3
252,1
253,1
254,1
255,1
256,1
257,1
258,3
259,1
260,2
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,2
280,1
281,1
282,1
283,2
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,2
301,1
302,2
303,2
304,2
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,2
313,1
314,1
315,2
316,1
317,2
318,1
319,1
320,2
321,1
322,1
323,2
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,2
337,2
338,1
339,1
340,1
341,1
342,1
343,1
344,2
345,1
346,1
347,2
348,1
349,1
350,1
351,1
352,1
353,1
354,3
355,1
356,1
357,2
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,2
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,2
388,1
389,1
390,1
391,1
392,2
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,10
429,10
430,10
431,5
432,10
433,10
434,10
435,3
436,10
437,5
438,1
439,5
440,3
441,4
442,10
443,10
444,10
445,10
446,9
447,3
448,1
449,1
450,2
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,2
459,1
460,3
461,11
462,11
463,11
464,11
465,9
466,11
467,3
468,11
469,3
470,11
471,11
472,11
473,7
474,11
475,9
476,1
477,2
478,2
479,1
480,1
481,9
482,1
483,1
484,1
485,1
486,1
487,1
488,9
489,9
490,1
491,1
492,1
493,1
494,1
495,1
496,5
497,1
498,1
499,9
500,1
501,8
502,1
503,1
504,1
505,1
506,3
507,3
508,5
509,1
510,1
511,1
512,1
513,1
514,9
515,1
516,9
517,1
518,1
519,1
520,9
521,3
522,1
523,1
524,1
525,1
526,1
527,9
528,1
529,1
530,1
531,1
532,1
533,9
534,9
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,4
545,1
546,1
547,5
548,1
549,1
550,9
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,8
559,1
560,1
561,1
562,1
563,5
564,1
565,1
566,4
567,1
568,1
569,5
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,2
583,1
584,1
585,1
586,1
587,3
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,4
607,2
608,1
609,2
610,1
611,1
612,1
613,1
614,1
615,1
616,3
617,1
618,1
619,1
620,1
621,1
622,1
623,2
624,1
625,1
626,2
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,3
660,3
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,2
690,1
691,1
692,1
693,2
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,2
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,2
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
